Time,Open,High,Low,Close,Volume
2014.02.14 16:30:00,48795,48840,48725,48785,5394
2014.02.14 16:45:00,48785,48785,48665,48760,5920
2014.02.14 17:00:00,48760,48770,48680,48715,4840
2014.02.14 17:15:00,48710,48800,48680,48775,4892
2014.02.14 17:30:00,48775,48785,48735,48750,2183
2014.02.14 17:45:00,48750,48775,48725,48745,2865
2014.02.17 09:00:00,48805,48890,48780,48815,2345
2014.02.17 09:15:00,48815,48875,48790,48875,1281
2014.02.17 09:30:00,48865,48865,48765,48785,1178
2014.02.17 09:45:00,48790,48835,48690,48770,2532
2014.02.17 10:00:00,48775,48805,48675,48705,2460
2014.02.17 10:15:00,48710,48825,48700,48745,2117
2014.02.17 10:30:00,48740,48740,48630,48700,4644
2014.02.17 10:45:00,48700,48775,48680,48730,2635
2014.02.17 11:00:00,48730,48750,48660,48730,2144
2014.02.17 11:15:00,48730,48800,48690,48750,1758
2014.02.17 11:30:00,48745,48790,48740,48775,1019
2014.02.17 11:45:00,48760,48885,48745,48830,5399
2014.02.17 12:00:00,48830,48835,48700,48730,3034
2014.02.17 12:15:00,48735,48755,48660,48670,2167
2014.02.17 12:30:00,48665,48675,48455,48520,6819
2014.02.17 12:45:00,48530,48600,48525,48580,1840
2014.02.17 13:00:00,48575,48600,48450,48485,3172
2014.02.17 13:15:00,48485,48570,48455,48550,2270
2014.02.17 13:30:00,48550,48555,48510,48530,730
2014.02.17 13:45:00,48535,48550,48515,48540,529
2014.02.17 14:00:00,48540,48555,48490,48510,905
2014.02.17 14:15:00,48510,48520,48485,48500,641
2014.02.17 14:30:00,48490,48500,48360,48410,3778
2014.02.17 14:45:00,48425,48430,48360,48405,1081
2014.02.17 15:00:00,48400,48420,48330,48420,2013
2014.02.17 15:15:00,48415,48440,48345,48405,1559
2014.02.17 15:30:00,48400,48435,48370,48410,1042
2014.02.17 15:45:00,48405,48450,48385,48400,1092
2014.02.17 16:00:00,48400,48405,48285,48320,3061
2014.02.17 16:15:00,48325,48370,48210,48230,4051
2014.02.17 16:30:00,48240,48245,48010,48040,6155
2014.02.17 16:45:00,48040,48135,48040,48040,2785
2014.02.17 17:00:00,48040,48100,48015,48045,1761
2014.02.17 17:15:00,48040,48110,48025,48045,1636
2014.02.17 17:30:00,48045,48060,48010,48060,1110
2014.02.17 17:45:00,48050,48065,47950,47950,2187
2014.02.18 09:00:00,48090,48100,47865,47895,4318
2014.02.18 09:15:00,47895,47940,47780,47870,6609
2014.02.18 09:30:00,47875,47950,47830,47850,2637
2014.02.18 09:45:00,47855,47980,47850,47960,4133
2014.02.18 10:00:00,47955,48010,47845,47980,7858
2014.02.18 10:15:00,47985,48080,47945,48060,6086
2014.02.18 10:30:00,48060,48070,47845,47870,7004
2014.02.18 10:45:00,47865,47875,47700,47815,12690
2014.02.18 11:00:00,47815,47970,47795,47960,6633
2014.02.18 11:15:00,47960,48060,47885,47990,8894
2014.02.18 11:30:00,47990,48220,47980,48080,18616
2014.02.18 11:45:00,48075,48090,47825,47955,11459
2014.02.18 12:00:00,47960,47970,47810,47880,9958
2014.02.18 12:15:00,47885,48040,47860,48030,8884
2014.02.18 12:30:00,48030,48120,47985,48035,7707
2014.02.18 12:45:00,48035,48085,48000,48015,3930
2014.02.18 13:00:00,48020,48090,47960,48050,4247
2014.02.18 13:15:00,48050,48125,47995,48080,5883
2014.02.18 13:30:00,48085,48195,48025,48060,7678
2014.02.18 13:45:00,48060,48085,47865,47870,10300
2014.02.18 14:00:00,47870,47915,47840,47865,4482
2014.02.18 14:15:00,47860,47885,47735,47800,9706
2014.02.18 14:30:00,47805,47905,47790,47860,4320
2014.02.18 14:45:00,47855,47955,47830,47900,5656
2014.02.18 15:00:00,47900,47905,47735,47810,6017
2014.02.18 15:15:00,47805,47865,47755,47760,4422
2014.02.18 15:30:00,47765,47860,47735,47775,4943
2014.02.18 15:45:00,47775,47780,47610,47655,12613
2014.02.18 16:00:00,47645,47695,47570,47640,7532
2014.02.18 16:15:00,47645,47655,47525,47540,5586
2014.02.18 16:30:00,47540,47540,47230,47295,14099
2014.02.18 16:45:00,47295,47315,47130,47135,10008
2014.02.18 17:00:00,47135,47145,46950,47040,11546
2014.02.18 17:15:00,47040,47085,47005,47060,4447
2014.02.18 17:30:00,47060,47100,47030,47035,2904
2014.02.18 17:45:00,47035,47045,46950,46950,4453
