Time,Open,High,Low,Close,Volume
2011.08.11,9.46,9.8,8.91,9.46,41592
2011.08.12,9.47,10.25,9.28,10.13,29759
2011.08.13,10.13,11.24,9.62,10.8,44125
2011.08.14,10.8,11.89,10.72,11.15,38155
2011.08.15,11.16,11.32,10.81,10.96,15325
2011.08.16,10.96,11.1,10.66,10.95,22898
2011.08.17,10.98,11.05,10.81,10.83,8210
2011.08.18,10.83,11.81,10.83,11.65,33721
2011.08.19,11.65,11.69,11.4,11.45,9915
2011.08.20,11.45,11.51,11.31,11.31,8720
2011.08.21,11.31,11.5,10.51,10.9,36996
2011.08.22,10.91,11.3,10.81,10.94,12780
2011.08.23,10.94,11.08,10.83,10.85,7815
2011.08.24,10.85,10.89,9.1,9.66,55485
2011.08.25,9.66,9.89,7.64,8.18,83004
2011.08.26,8.18,9.11,8.12,8.59,21998
2011.08.27,8.59,9.48,8.45,9.07,24155
2011.08.28,9.07,9.27,8.65,8.97,21651
2011.08.29,8.97,9,8.55,8.79,11773
2011.08.30,8.79,8.79,8.01,8.2,19648
2011.08.31,8.2,8.36,8.1,8.21,11903
2011.09.01,8.25,8.71,8.23,8.64,16814
2011.09.02,8.6,8.69,8.36,8.48,6944
2011.09.03,8.48,8.49,7.85,8.18,19673
2011.09.04,8.18,8.19,7.25,7.61,30798
2011.09.05,7.61,7.66,6.12,6.86,82496
2011.09.06,6.86,7.6,6.53,7.19,49642
2011.09.07,7.2,7.2,6.51,6.53,31886
2011.09.08,6.53,6.58,4.18,5.03,217433
2011.09.09,5.03,5.49,4.63,4.77,44484
2011.09.10,4.77,7.4,4.6,5.86,143792
2011.09.11,5.94,6.58,5.41,6.08,63864
2011.09.12,6.08,6.09,5.7,5.8,23759
2011.09.13,5.8,5.85,5.33,5.62,43768
2011.09.14,5.62,5.62,4.44,4.84,86220
2011.09.15,4.84,4.99,4.61,4.82,31651
2011.09.16,4.82,4.93,4.7,4.77,20303
2011.09.17,4.76,5.6,4.72,5.2,44623
2011.09.18,5.2,5.64,4.9,5.46,49836
2011.09.19,5.46,6.8,5.45,6.11,116750
2011.09.20,6.11,6.29,5.06,5.61,68164
2011.09.21,5.61,5.83,5.29,5.43,31651
2011.09.22,5.43,5.71,5.41,5.55,55667
2011.09.23,5.55,5.64,5.32,5.47,17944
2011.09.24,5.47,5.49,5.32,5.33,9487
2011.09.25,5.33,5.4,4.72,4.87,56072
2011.09.26,4.87,5.13,4.78,4.92,24645
2011.09.27,4.92,4.97,4.63,4.77,30625
2011.09.28,4.77,4.8,4.67,4.78,14092
2011.09.29,4.76,5.35,4.74,5.14,41459
2011.09.30,5.14,5.25,4.86,5.03,23460
2011.10.01,5.03,5.1,4.91,5.03,10457
2011.10.02,5.03,5.04,4.89,5.02,17289
2011.10.03,5.02,5.03,4.92,4.96,15793
2011.10.04,4.96,5.03,4.83,4.87,17586
2011.10.05,4.87,4.9,4.5,4.73,54773
2011.10.06,4.75,4.8,3.78,4.27,97547
2011.10.07,4.3,4.34,3.83,4.01,39611
2011.10.08,4.01,4.39,4.01,4.1,37920
2011.10.09,4.1,4.2,4.01,4.1,16858
2011.10.10,4.1,4.1,3.85,3.93,41104
2011.10.11,3.93,4.45,3.9,4.15,69399
2011.10.12,4.16,4.2,4,4.05,19706
2011.10.13,4.06,4.11,3.95,3.99,20054
2011.10.14,3.99,4.05,3.71,3.84,42092
2011.10.15,3.84,3.9,3.4,3.56,36200
2011.10.16,3.56,3.74,2.26,2.56,207426
2011.10.17,2.54,2.9,2.31,2.42,87859
2011.10.18,2.42,2.54,2.04,2.27,101864
2011.10.19,2.27,2.39,2.22,2.35,48859
2011.10.20,2.35,2.72,2.33,2.57,72971
2011.10.21,2.57,3.3,2.55,3.16,120163
2011.10.22,3.16,3.2,2.95,3.17,37044
2011.10.23,3.13,3.2,2.48,2.55,92232
2011.10.24,2.52,3.04,2.44,2.77,101412
2011.10.25,2.77,2.85,2.65,2.77,29400
2011.10.26,2.77,3.09,2.73,3.04,58696
2011.10.27,3.04,3.26,2.91,3.19,52365
2011.10.28,3.19,3.83,3.14,3.58,79542
2011.10.29,3.58,3.65,3.2,3.27,50686
2011.10.30,3.27,3.32,3.07,3.25,30980
2011.10.31,3.26,3.35,3.07,3.15,37893
2011.11.01,3.15,3.44,3.14,3.25,32311
2011.11.02,3.25,3.28,3.1,3.15,24520
2011.11.03,3.17,3.21,3.01,3.11,39513
2011.11.04,3.11,3.15,2.85,2.97,52964
2011.11.05,2.97,3,2.92,2.96,17232
2011.11.06,2.96,3.03,2.95,3.01,23992
2011.11.07,3.01,3.21,3.01,3.04,60336
2011.11.08,3.04,3.11,2.89,2.95,52195
2011.11.09,2.95,2.97,2.8,2.84,33928
2011.11.10,2.84,3.11,2.82,3.08,44853
2011.11.11,3.08,3.11,3.01,3.03,20383
2011.11.12,3.03,3.05,2.95,3,9624
2011.11.13,3,3,2.1,2.22,382186
2011.11.14,2.22,2.49,2.11,2.33,76420
2011.11.15,2.33,2.6,2.3,2.56,44208
2011.11.16,2.56,2.59,1.99,2.25,117276
2011.11.17,2.25,2.39,2,2.05,98135
2011.11.18,2.05,2.26,2,2.2,78301
2011.11.19,2.2,2.5,2.15,2.2,79731
2011.11.20,2.2,2.31,2.17,2.29,41727
2011.11.21,2.29,2.35,2.25,2.33,34208
2011.11.22,2.33,2.38,2.27,2.33,39998
2011.11.23,2.33,2.56,2.31,2.43,87264
2011.11.24,2.43,2.53,2.37,2.51,44404
2011.11.25,2.47,2.53,2.41,2.47,36118
2011.11.26,2.47,2.49,2.42,2.48,22727
2011.11.27,2.48,2.55,2.44,2.55,41261
2011.11.28,2.55,2.98,2.54,2.75,180531
2011.11.29,2.75,3.09,2.73,2.97,120145
2011.11.30,2.97,3.14,2.93,3.06,63864
2011.12.01,3.06,3.14,3.04,3.12,57494
2011.12.02,3.12,3.13,2.75,2.79,123022
2011.12.03,2.79,2.9,2.61,2.83,95222
2011.12.04,2.83,2.93,2.78,2.88,30884
2011.12.05,2.88,3.05,2.87,3.03,55599
2011.12.06,3.03,3.08,2.93,2.99,58122
2011.12.07,2.99,3.01,2.88,2.98,39933
2011.12.08,2.98,3.04,2.94,2.97,34385
2011.12.09,2.97,3.13,2.94,3.05,74305
2011.12.10,3.06,3.38,2.99,3.25,108223
2011.12.11,3.25,3.29,3.08,3.14,39899
2011.12.12,3.17,3.25,3.14,3.25,32658
2011.12.13,3.25,3.25,2.99,3.15,72477
2011.12.14,3.15,3.21,3.11,3.2,30094
2011.12.15,3.2,3.22,3.15,3.2,29868
2011.12.16,3.2,3.23,3.16,3.2,16479
2011.12.17,3.18,3.22,3.18,3.19,10793
2011.12.18,3.19,3.7,3.19,3.52,139986
2011.12.19,3.52,4.5,3.48,3.95,186409
2011.12.20,3.92,4.04,3.81,3.89,48793
2011.12.21,3.89,3.99,3.51,3.89,57206
2011.12.22,3.89,3.95,3.82,3.95,20496
2011.12.23,3.95,3.97,3.86,3.94,14933
2011.12.24,3.94,4.39,3.78,4.23,80800
2011.12.25,4.23,4.31,3.81,4.02,88825
2011.12.26,4.02,4.1,3.96,4.07,30159
2011.12.27,4.07,4.25,3.99,4.19,33837
2011.12.28,4.19,4.33,4.12,4.17,53069
2011.12.29,4.17,4.3,4.06,4.25,41068
2011.12.30,4.25,5,4.2,4.72,129730
2011.12.31,4.71,5.5,4.62,5.27,108509
2012.01.01,5.26,5.47,4.8,5.22,69150
2012.01.02,5.22,5.29,4.65,4.88,125170
2012.01.03,4.88,5.7,4.75,5.57,131170
2012.01.04,5.57,7.22,5.57,6.95,182328
2012.01.05,6.95,7.21,6.13,6.7,218077
2012.01.06,6.7,7.02,6.38,6.81,48387
2012.01.07,6.81,7.2,6.73,7.11,57193
2012.01.08,7.11,7.19,5.81,6.33,148406
2012.01.09,6.33,6.89,6,6.36,110210
2012.01.10,6.45,7.14,6.41,6.9,99442
2012.01.11,6.9,7,6.34,6.8,140116
2012.01.12,6.8,6.8,6.4,6.41,60228
2012.01.13,6.42,6.95,6.22,6.75,141896
2012.01.14,6.75,7.08,6.74,7,62233
2012.01.15,7,7.19,6.51,6.68,122666
2012.01.16,6.68,6.95,4.64,5.6,213409
2012.01.17,5.6,6.95,5.1,5.92,226680
2012.01.18,5.92,6.36,5.87,6.36,114820
2012.01.19,6.36,6.58,6.26,6.49,66786
2012.01.20,6.5,6.55,6.1,6.18,64761
2012.01.21,6.18,6.46,6.1,6.31,44890
2012.01.22,6.31,6.39,6.21,6.36,17693
2012.01.23,6.36,6.39,6.22,6.29,35663
2012.01.24,6.29,6.32,5.5,5.75,133115
2012.01.25,5.8,5.92,5.3,5.34,123954
2012.01.26,5.34,5.51,5.05,5.29,115567
2012.01.27,5.29,5.76,5.26,5.63,89708
2012.01.28,5.63,5.7,5.33,5.38,46430
2012.01.29,5.38,5.6,5.37,5.49,42303
2012.01.30,5.49,5.65,5.43,5.48,48296
2012.01.31,5.53,6.2,5.47,6.08,115523
2012.02.01,6.07,6.2,5.82,6.1,54546
2012.02.02,6.1,6.14,5.72,5.96,59279
2012.02.03,5.96,5.99,5.84,5.87,20619
2012.02.04,5.87,5.88,5.45,5.69,120336
2012.02.05,5.69,5.72,5.45,5.45,90258
2012.02.06,5.48,5.78,5.45,5.69,72748
2012.02.07,5.69,5.85,5.3,5.6,237943
2012.02.08,5.6,5.92,5.5,5.83,89946
2012.02.09,5.83,5.99,5.8,5.91,39304
2012.02.10,5.91,6,5.54,5.6,69711
2012.02.11,5.6,5.85,5.43,5.52,81913
2012.02.12,5.52,5.72,5.2,5.26,170208
2012.02.13,5.26,5.45,4.21,4.46,297569
2012.02.14,4.46,4.88,4.2,4.33,161797
2012.02.15,4.33,4.44,3.88,4.27,166592
2012.02.16,4.27,4.77,4.23,4.41,135948
2012.02.17,4.39,4.5,4.12,4.22,70403
2012.02.18,4.22,4.52,4.18,4.39,62362
2012.02.19,4.39,4.47,4.29,4.36,37296
2012.02.20,4.38,4.4,4.21,4.27,51786
2012.02.21,4.27,4.54,4.27,4.43,103834
2012.02.22,4.46,5.2,4.42,5.02,164305
2012.02.23,5.02,5.1,4.83,5.03,89825
2012.02.24,5.03,5.07,4.65,4.77,86161
2012.02.25,4.77,5.1,4.77,4.92,70032
2012.02.26,4.92,4.99,4.89,4.96,29368
2012.02.27,4.95,5,4.74,4.87,62688
2012.02.28,4.87,4.9,4.8,4.86,26536
2012.02.29,4.86,4.99,4.86,4.92,44180
2012.03.01,4.92,4.95,4.51,4.71,130761
2012.03.02,4.71,4.78,4.51,4.61,40071
2012.03.03,4.61,4.95,4.61,4.82,58823
2012.03.04,4.82,5.05,4.82,4.98,65826
2012.03.05,4.98,5.07,4.9,4.99,44530
2012.03.06,4.99,5.05,4.84,4.94,46164
2012.03.07,4.94,5,4.76,4.93,58086
